"Order ID","Ship Mode",delivery_days,z_score
US-2015-110261,"Second Class",4,0.64
US-2017-119816,"Second Class",2,-1.04
US-2017-119816,"Second Class",2,-1.04
US-2017-119816,"Second Class",2,-1.04
CA-2017-142671,"Second Class",4,0.64
CA-2017-154074,"Second Class",2,-1.04
CA-2017-154074,"Second Class",2,-1.04
CA-2017-143035,"Second Class",2,-1.04
CA-2017-143035,"Second Class",2,-1.04
CA-2017-143035,"Second Class",2,-1.04
CA-2014-141299,"Second Class",4,0.64
CA-2017-161459,"Second Class",4,0.64
CA-2016-163328,"Second Class",2,-1.04
CA-2016-163328,"Second Class",2,-1.04
CA-2016-163328,"Second Class",2,-1.04
CA-2016-163328,"Second Class",2,-1.04
CA-2016-163328,"Second Class",2,-1.04
CA-2016-163328,"Second Class",2,-1.04
CA-2017-162712,"Second Class",2,-1.04
US-2015-139675,"Second Class",5,1.48
US-2015-139675,"Second Class",5,1.48
US-2016-139087,"Second Class",5,1.48
US-2016-139087,"Second Class",5,1.48
US-2016-139087,"Second Class",5,1.48
US-2016-139087,"Second Class",5,1.48
US-2016-139087,"Second Class",5,1.48
US-2016-139087,"Second Class",5,1.48
US-2016-139087,"Second Class",5,1.48
CA-2015-115392,"Second Class",3,-0.2
CA-2015-115392,"Second Class",3,-0.2
CA-2015-150441,"Second Class",4,0.64
CA-2015-133536,"Second Class",2,-1.04
CA-2017-141425,"Second Class",4,0.64
CA-2015-133977,"Second Class",2,-1.04
CA-2017-141572,"Second Class",3,-0.2
US-2016-131912,"Second Class",3,-0.2
US-2017-157224,"Second Class",4,0.64
CA-2017-149944,"Second Class",4,0.64
CA-2017-149944,"Second Class",4,0.64
CA-2016-133697,"Second Class",4,0.64
CA-2016-133697,"Second Class",4,0.64
CA-2016-133697,"Second Class",4,0.64
CA-2016-141523,"Second Class",5,1.48
CA-2016-141523,"Second Class",5,1.48
CA-2014-101266,"Second Class",3,-0.2
CA-2015-132815,"Second Class",3,-0.2
CA-2016-104150,"Second Class",2,-1.04
CA-2016-104150,"Second Class",2,-1.04
CA-2014-111871,"Second Class",3,-0.2
CA-2016-161928,"Second Class",2,-1.04
US-2016-142251,"Second Class",4,0.64
US-2017-162068,"Second Class",3,-0.2
CA-2015-111780,"Second Class",5,1.48
CA-2015-111780,"Second Class",5,1.48
CA-2015-111780,"Second Class",5,1.48
CA-2016-124016,"Second Class",3,-0.2
CA-2016-124016,"Second Class",3,-0.2
CA-2016-124016,"Second Class",3,-0.2
CA-2017-145702,"Second Class",5,1.48
CA-2017-145702,"Second Class",5,1.48
CA-2017-139717,"Second Class",2,-1.04
CA-2017-139717,"Second Class",2,-1.04
CA-2014-152422,"Second Class",5,1.48
CA-2017-112984,"Second Class",2,-1.04
CA-2014-140732,"Second Class",2,-1.04
CA-2014-140732,"Second Class",2,-1.04
CA-2014-140732,"Second Class",2,-1.04
CA-2017-150602,"Second Class",5,1.48
CA-2016-127138,"Second Class",3,-0.2
CA-2016-127138,"Second Class",3,-0.2
CA-2016-127138,"Second Class",3,-0.2
CA-2014-155796,"Second Class",4,0.64
CA-2014-155796,"Second Class",4,0.64
CA-2015-115924,"Second Class",4,0.64
CA-2017-112431,"Second Class",2,-1.04
CA-2017-112431,"Second Class",2,-1.04
CA-2017-146458,"Second Class",3,-0.2
CA-2016-130288,"Second Class",4,0.64
CA-2014-120432,"Second Class",2,-1.04
CA-2016-136301,"Second Class",2,-1.04
CA-2016-136301,"Second Class",2,-1.04
US-2014-117968,"Second Class",2,-1.04
US-2014-117968,"Second Class",2,-1.04
US-2014-117968,"Second Class",2,-1.04
CA-2016-101525,"Second Class",3,-0.2
CA-2016-101525,"Second Class",3,-0.2
CA-2016-101525,"Second Class",3,-0.2
CA-2015-157434,"Second Class",5,1.48
